age,job,credit_amount,duration,housing,purpose,sex,default
46,1,7479,10,free,business,male,0
30,2,10332,28,rent,furniture,female,1
63,3,13004,36,rent,business,female,1
52,2,7410,58,own,education,male,0
23,3,14589,61,free,education,male,0
35,3,2696,10,own,other,female,1
68,0,6478,60,free,other,female,0
22,1,17653,15,free,other,female,1
64,2,1280,19,free,car,male,0
42,0,10408,46,rent,other,female,0
19,2,6803,10,rent,car,male,1
27,3,15186,54,free,other,female,0
47,1,4483,35,own,car,female,1
67,2,10003,11,free,business,male,1
62,2,17405,48,free,business,male,0
22,3,13570,62,own,education,male,0
50,2,12732,7,free,car,female,1
18,2,5083,70,own,furniture,female,1
35,3,6446,32,rent,education,female,0
49,0,16877,32,rent,business,male,1
64,3,7628,31,own,car,female,0
66,0,12389,47,rent,other,male,0
28,1,12775,7,rent,furniture,male,1
38,0,2961,12,own,business,male,0
43,0,14791,8,rent,education,female,1
42,1,14536,59,free,car,female,0
39,0,11935,53,free,furniture,male,0
44,3,1185,18,own,car,female,0
66,0,19044,35,rent,other,male,0
30,1,12758,31,free,education,male,0
50,3,16490,25,free,car,female,0
51,1,16922,20,rent,business,male,0
58,1,11236,62,rent,education,male,0
52,2,5375,60,free,business,female,0
18,2,18140,29,free,car,male,1
38,1,11682,28,own,education,male,0
65,1,2696,13,own,business,male,0
23,1,7665,48,free,other,male,0
45,2,16497,14,own,other,male,0
34,2,14715,56,free,car,male,0
22,0,801,71,free,education,male,0
48,0,17530,31,own,furniture,female,0
22,1,15071,68,own,education,female,1
55,3,10451,52,rent,other,male,1
20,3,11273,50,rent,business,male,0
40,2,16640,55,rent,furniture,female,0
54,2,13557,57,free,car,female,0
54,2,13000,63,own,furniture,female,0
27,1,16421,60,free,car,female,0
27,3,12370,50,own,furniture,female,0
36,0,4582,34,free,car,male,0
34,1,14218,49,rent,car,female,0
38,0,11017,29,rent,furniture,female,0
31,0,4254,8,rent,furniture,female,0
26,1,2224,55,free,car,male,0
63,0,1876,57,own,other,male,0
18,3,9206,36,own,furniture,male,0
68,0,9394,53,rent,education,male,0
62,3,18537,41,rent,business,male,0
30,3,18950,30,rent,car,male,0
21,3,16906,18,rent,car,female,0
18,2,19344,64,own,business,male,0
66,0,6426,24,free,other,male,0
57,1,6751,49,free,business,female,0
49,1,9996,9,free,furniture,male,0
51,0,3800,41,free,business,female,0
45,2,9053,65,rent,car,female,0
48,2,4227,65,rent,business,male,1
25,3,17398,49,rent,education,female,0
56,0,17332,16,free,furniture,female,0
43,0,6519,6,rent,business,female,1
51,1,15963,9,rent,car,female,1
20,0,10547,11,own,furniture,male,0
67,2,12254,47,own,car,female,0
29,0,3020,36,rent,other,male,0
18,1,3581,53,own,education,female,0
61,3,1928,14,own,other,female,0
22,1,4467,31,rent,education,female,0
47,1,6945,44,rent,business,male,0
47,3,15066,19,rent,furniture,male,1
34,1,14542,71,rent,business,male,1
65,1,11829,51,free,education,female,0
64,0,2659,59,free,education,female,0
40,0,5632,67,rent,education,female,0
32,3,19431,62,own,car,female,1
54,0,19863,65,rent,furniture,male,0
38,0,15433,14,rent,business,female,0
31,1,10973,21,own,business,male,0
19,2,19533,22,free,other,female,0
28,0,11305,58,rent,education,male,0
68,2,3583,29,rent,education,male,1
56,0,17921,9,free,education,female,0
55,0,14444,7,free,business,female,0
51,3,8104,32,own,other,male,0
55,3,15879,62,free,car,female,0
67,3,19518,20,free,furniture,female,1
51,2,4483,46,free,car,male,1
35,1,2278,69,own,business,male,1
47,0,5610,37,free,education,male,1
32,0,12587,11,free,furniture,male,0
44,0,18008,16,own,business,female,0
68,2,17581,11,free,business,male,0
51,3,2679,68,free,business,male,1
69,1,10096,46,own,furniture,male,0
55,2,5751,42,rent,furniture,female,0
50,3,9735,62,own,other,male,1
41,2,18813,47,free,other,female,0
32,1,15371,12,free,car,male,0
47,3,1513,40,free,furniture,male,0
59,2,17110,39,own,furniture,female,0
68,1,2328,31,free,furniture,male,0
34,0,8409,45,free,other,male,1
22,1,6088,46,own,business,female,0
46,0,13609,45,rent,education,male,1
21,2,2523,69,rent,other,male,0
27,3,15037,58,free,furniture,male,0
34,3,6391,51,own,other,male,1
27,2,1580,25,free,car,female,0
34,3,5536,30,own,furniture,male,0
37,3,15879,70,own,car,female,1
41,0,11322,16,rent,furniture,male,0
22,2,3063,48,rent,other,female,0
51,1,3792,13,own,business,male,0
23,0,4086,12,free,education,female,0
19,2,16587,57,rent,car,male,0
30,0,16600,30,free,other,female,0
60,1,7143,37,rent,business,female,1
60,1,4459,4,rent,other,male,1
65,2,11505,35,free,car,female,0
28,1,11275,70,rent,education,male,0
68,0,661,23,rent,other,male,0
64,1,16529,38,free,furniture,male,0
40,0,17477,20,rent,business,male,0
33,0,14726,21,rent,other,male,1
48,1,11654,48,rent,business,female,1
28,2,12580,56,free,furniture,male,0
33,3,3890,71,own,education,male,0
25,1,6497,68,free,education,male,0
21,0,13193,4,own,furniture,male,0
57,0,17547,61,rent,business,male,0
21,1,9824,29,own,other,male,1
42,2,1041,23,free,furniture,female,0
20,2,5593,13,free,car,female,1
49,0,13928,62,rent,business,male,0
20,0,11666,44,own,education,female,0
44,2,17751,8,rent,furniture,male,0
46,3,16563,68,rent,education,male,0
49,1,10758,20,free,business,male,0
67,0,16544,25,own,education,male,0
68,0,5969,44,own,furniture,male,1
36,2,6756,71,own,business,female,0
38,1,11220,14,own,car,female,0
22,2,1669,59,rent,furniture,female,1
35,1,1330,54,rent,other,female,1
45,1,2151,24,free,furniture,male,1
59,1,18020,29,rent,business,female,0
39,0,19694,22,rent,furniture,male,1
38,3,10018,63,free,car,female,0
23,2,13758,50,free,car,female,0
18,3,16684,29,free,other,female,0
22,2,1519,43,rent,education,female,0
58,1,10528,8,rent,business,male,0
29,0,12948,24,free,business,female,0
43,3,12985,7,free,education,female,0
63,0,1783,26,free,car,male,0
51,2,17543,18,rent,car,male,0
66,0,18894,11,rent,furniture,female,1
31,0,2233,44,own,other,male,1
43,3,19009,22,rent,other,male,0
62,1,19055,49,rent,other,male,1
44,0,16730,31,rent,furniture,female,0
26,1,14972,71,free,other,male,0
43,2,13389,18,rent,education,female,0
64,0,3971,40,free,furniture,female,0
39,3,9528,4,own,education,female,1
64,2,8829,70,own,furniture,female,0
47,2,2597,27,free,other,male,0
60,3,14582,30,free,education,female,0
65,0,14430,43,free,education,male,0
34,0,10577,66,rent,education,female,1
43,2,6897,64,own,furniture,male,1
53,0,3257,39,free,business,female,0
18,1,18784,27,rent,other,male,1
25,3,19494,27,own,education,female,0
66,1,18333,7,rent,business,female,1
52,0,5517,70,own,other,male,0
69,2,16870,37,rent,other,female,0
32,3,8499,60,own,education,female,0
64,0,10695,52,own,education,female,0
39,0,2596,56,rent,furniture,male,0
31,2,15933,26,free,business,female,0
43,2,11095,56,own,business,female,0
45,1,16441,65,free,education,male,1
40,3,15578,44,rent,other,male,0
31,3,5605,60,free,education,male,0
41,2,19862,63,free,other,male,0
19,1,3339,57,free,other,male,1
62,3,3884,60,free,education,female,0
43,2,11351,13,free,car,female,1
31,0,10553,43,own,business,female,1
68,3,13993,10,own,other,male,0
24,1,17569,41,own,other,female,0
20,1,14639,64,rent,car,male,0
64,1,8031,6,free,furniture,male,0
40,0,4783,54,own,car,female,1
63,3,8236,50,rent,car,male,1
60,3,8210,71,own,other,male,0
64,0,2119,41,own,business,female,0
62,3,14475,39,free,car,male,1
35,0,13335,44,rent,furniture,male,0
55,0,15761,16,free,education,female,0
